,Product,R2,MAE,RMSE,MAPE,3 line diamond hoops_meta_impression,3 princess cluster diamond ring_meta_impression,Category Discount,Daily_Impressions_LINK_CLICKS,Google_Impression,Impressions,Intercept,Product variant price,adjustable bar diamond lariat necklace_meta_impression,adjustable heart diamond lariat necklace_meta_impression,classic diamond paperclip bracelet_meta_impression,contemporary diamond band_meta_impression,contemporary open diamond band_meta_impression,elegant clover diamond earrings_meta_impression,flexi diamond tennis bracelet in yellow_meta_impression,google_trends,interlinked diamond paperclip bracelet_meta_impression,interlocked chain hoops_meta_impression,interlocking diamond necklace_meta_impression,minimal diamond climber earrings_meta_impression,pave diamond paperclip bracelet_meta_impression,pave diamond paperclip ring_meta_impression,paw diamond necklace_meta_impression,textured diamond band_meta_impression,twirl diamond hoops_meta_impression,two-tone interlocking diamond band_meta_impression,wide baguette diamond band_meta_impression
0,Other Products,0.7894,18.87,23.55,18.49,2.0744552757019166e-7,1.7431703249282634e-7,-661.8265821302789,9.430081042043145e-8,0.0000050151042881836545,0.0002616819866609424,-216.74545984963402,0.08362314704785588,0.0000010486532556774726,6.894737381638727e-7,0.000008489965262024712,0,1.1505162171098306e-7,0.0000019489037848742547,3.590880132382689e-7,0.22223199648096906,5.375466873906832e-8,0.000003471136089989588,7.33429702488022e-7,0.00005594262678331815,0.00011244404343721893,0.00019088932235600704,4.820423675939923e-7,0.0000010445005451234257,0.000005686892573208302,0.00039793650922350136,4.4855701071978424e-7
1,adjustable bar diamond lariat necklace,0.2577,2.26,3.12,70.9,0,4.4944278144114423e-10,-25.584097599786734,5.918642478181085e-11,7.473259913333709e-10,1.6986518992489917e-9,-6.6935979089741,0.02970996030158961,0.00019430865800757036,2.6058799002746234e-7,1.9699163433384446e-8,0,8.310730169114746e-10,2.1267640333809479e-7,2.8271751250773805e-9,-0.009080853946629839,7.783387336351629e-9,0.0000015107256361301056,0,0.000007769931942593147,1.398647949020692e-9,0,0.000013444118062283708,7.411799461598449e-10,2.214360406306805e-9,4.700884711724989e-9,2.943680207679088e-9
2,elegant clover diamond earrings,0.2648,1.2,1.9,75.44,0,9.931892086063571e-9,-5.7077199773428235,0.00002285714838236213,0,4.439042968387804e-10,-0.3896527362374007,-0.015160856482794633,2.550231287583554e-8,4.524247697655151e-8,1.2578238361669981e-9,1.3073724746436566e-8,0,2.174372906648077e-7,1.3812888585894284e-8,0.0061176347810101795,0,9.471020200444361e-7,0,5.319052137390417e-11,2.2473110264609897e-10,0,7.266360560652162e-11,1.861049179804485e-10,9.06759761766578e-10,2.2009113376945415e-9,1.4312532788768792e-10
3,interlocked chain hoops,-0.055,0.84,1.22,63.21,0,0.000045090572587192704,-7.277330423437265,0,0.0000017934241662379026,5.217862948196526e-7,-1.4810875264616343,-0.0016815110333109416,0,0,0.0000010401672417203537,0,0,0.000012570271809688775,8.668727699103666e-8,0.0012850439113354787,0.000004532939093945062,0,0,4.1588446049327855e-8,6.235139838835466e-7,0,1.391096859164701e-7,2.952414172282508e-7,5.16449260007722e-7,0.000009686988689936118,6.426467343509576e-7
4,interlocking diamond necklace,0.3994,1.78,2.17,59.24,0,0,0.06581455379590444,2.038423109713827e-9,4.258631432861037e-9,0.000001955641045190392,-1.7983518569833619,-0.006477286848805883,0,0,0.0000035123244014768585,0,7.517557863104105e-7,5.138447147062911e-8,0.0000032605850835217375,0.006673327302649804,9.249533275457683e-7,0.0000019742155922116955,0.0005349676824286404,9.611970922673117e-8,9.258467578145788e-7,0,3.332005506287484e-8,2.8529672367947407e-7,0.0000014247736001027676,3.708051278629194e-7,0.0000011299557646802448
5,minimal diamond climber earrings,0.9004,4.27,6.1,51.65,9.651944858869872e-7,1.1157445843672126e-7,144.24990581595188,3.1063646855181966e-8,0.000022006169629432797,4.455266241534213e-7,66.9375543732542,-0.11574680089052848,0.0001674064662112686,0.0000014723124868123457,0.000011553132944985667,0.000005551346636436951,3.141046281381175e-7,5.457327521692319e-7,0.00019806678036077207,0.011224452357604905,0.000004039351649672209,2.596098396089441e-7,0.0000011540481262136308,0.00011027456448336025,2.6139322809319676e-7,8.081448378026518e-7,9.38572994521799e-8,1.5582860303878318e-7,0.0000020438514748472608,0,0.000004628505256286297
6,pave diamond paperclip bracelet,0.8652,6.46,8.66,58.73,1.5425663145114326e-7,1.1846606453406399e-7,1.5224601910231033,5.636187273323212e-8,0.0000017332513388188467,0.0000015430705581813784,-19.924490887605565,-0.00673588025549532,8.628903363346154e-7,5.543032297688565e-7,0.0000028518246952227687,0,7.495893502040128e-8,0.000001254970679927886,0.000036087186245340536,0.04931478721149769,4.7194919281184165e-8,0.000003199286748322127,5.840592439412772e-7,0.000028424746473750188,0.00005058248893287843,0,0.0000598785110604954,6.191622228379818e-7,0.0000030483933837214876,0.00021610532738315335,0.000008689837219068943
7,pave diamond paperclip ring,0.7197,3.08,4.46,55.19,0.000014870127456617378,0.000003702525118541209,-133.43150349510702,9.560668269550127e-7,0.000007221220039779815,2.762419020863266e-7,-17.199319959266028,-0.030752887312761094,0.0000660519641672586,0.00002243435892377416,0.0000030606353442197066,0.0000017006823059729789,9.431034830454458e-7,0.000021599959311674844,7.156767300912726e-7,0.00291927593508371,0.0000029259376401206704,0.0000024550949848857208,0.00006738764610960962,1.71156308533685e-8,7.250476782120437e-7,0.0006404374693166377,1.3110190559541377e-7,6.335029889897146e-7,3.3693032849445894e-7,0.0000872111598050892,3.3971234474452417e-7
8,paw diamond necklace,0.9534,6.2,8.61,81.31,0,0.0000023737494538289657,-26.03153533119747,4.459371009805577e-9,9.316424676545537e-9,0.000001414954924750143,-95.75658852197945,-0.012107187082400139,0,0.00012173010017719677,0.000008679774260133193,0,3.247239433056548e-7,0.0000607091779146788,2.6737407983544783e-7,0.16216963727174716,0,0.0002278380697269097,0,4.003058274449525e-7,9.4918886545698e-7,0.0001771131780557731,0.00010389655293708828,2.9260796060973384e-7,0.0000037093051292051,0.00017885818548189005,7.541353386897153e-7
9,textured diamond band,0.8256,10.5,14.18,53.91,3.8236666591877665e-8,6.732317936078015e-10,51.51065570216658,0,8.651284454902216e-7,1.8088921889666185e-7,17.600358250720838,-0.14152739341336493,0.0003242200194119944,4.902923485931043e-8,0.0000013755145007264966,3.1642324103375094e-8,0,0,0,0.10188817808944504,8.638058158377608e-9,0,0.00006793158122780094,7.124257539674599e-8,0.00006114163774844958,6.929091541000261e-8,2.8624420212326775e-7,0.00011036842929648524,0.000004753210176107176,0.00000998404682078204,0
10,twirl diamond hoops,0.7868,6.34,8.95,45.79,5.767589057125929e-8,1.0154971014525035e-9,-156.83102689729816,0,7.94175700402611e-7,0.0000021751287918632368,-34.76579200832976,-0.10341722033512445,1.2157270515465201e-8,7.395531538271485e-8,4.053561830193064e-7,4.772903774090137e-8,0,0,1.026692265855926e-9,0.0747822738532614,1.3029579739119988e-8,0,5.071319909079363e-8,1.0765899067292777e-7,0.0000010883415854907215,0.00003813485935867033,4.0131098277344685e-7,0.0000010286798177602885,0.00027656137278372954,0.0000135096551052441,1.4392653951642022e-7
11,two-tone interlocking diamond band,0.7248,2.2,3.07,60.7,0.0000027253685912502104,7.658674173018399e-7,12.232004346551406,1.8838791068357855e-8,3.1416729604413714e-7,0.000013680650979443583,7.880954336839641,-0.013438930291114828,4.3634375257760856e-7,0.00002386269300830831,5.384004084480797e-7,1.2212330896332114e-7,1.6391472949043133e-7,0.0000053435849165813194,6.420461616950111e-8,-0.0024554982260190624,7.65676754052518e-8,0.000009991898889027056,0.00003292674372428232,1.0191204003599319e-7,1.8753881199662386e-7,0,5.592373575973676e-8,0.000010038358549542806,6.381146083622085e-8,0.00022645881703420377,1.557410907488056e-7
12,adjustable heart diamond lariat necklace,0.3676,1.06,1.65,52.68,0.000030425047464389956,0.0000011165004830541254,-23.98232416346435,3.529731941204545e-7,0.000004250751848327585,1.1782617184032808e-7,-7.703842813140321,0.0077964917122098415,0.00004572159459284284,0.00012209355939219507,0.00017584268762170255,0.0000060947339128829984,0.0000011763479186477636,0.00008010492719889648,9.2550620973524e-8,-0.003709307789267986,0.000003476840702822079,0.000010412010870509831,0.00006594297292198347,9.236822202175585e-8,3.691318335423327e-8,0,7.896643591337657e-9,1.8798361312046878e-8,1.3599041358704453e-7,3.661808926594178e-8,6.80740333576424e-7
13,classic diamond paperclip bracelet,0.1276,1.24,1.87,61.81,8.839212386226977e-9,1.001946640739778e-9,-8.746697392619193,2.496461223417046e-10,0,0,3.331754465150903,-0.004347187596162192,7.983703532125781e-9,1.3971168124580266e-8,0.0004050992239614018,1.6299760973580407e-8,1.0802882640984284e-10,4.279337792671936e-9,5.0519803022207755e-9,-0.002647861737126004,2.1179647100766603e-9,6.243541240213753e-9,1.333663427195206e-8,5.282363258988999e-11,0.0000023386155949310183,2.757359175445158e-8,7.975864170279068e-11,1.4920945745628033e-10,0,2.6460623314143764e-9,4.023817474172818e-10
14,contemporary diamond band,0.5691,1.1,1.95,55.56,0,0,75.68198725292677,2.0814698505551414e-8,8.250201704553231e-7,0.000005902847487818593,7.428354593015113,0,0,0,0.000015757482213159938,0.00020360908444369056,4.2662397695652204e-8,4.729170109819145e-7,0.00000179322275611116,0.006617849520175378,0.000022353638744845655,0.0000015448602427606898,0,2.2977800457400278e-7,0.000002262640230652639,0,7.300255280469853e-7,0.000001673057941057973,0.000011410783151209648,0.000010376380932201629,0.0000014099172560024837
15,contemporary open diamond band,0.6715,3.07,4.92,55.59,0.000002281165769698602,8.008557891665454e-7,80.76645543107264,5.193838254550776e-7,5.480593758946426e-8,7.709832588738125e-9,18.807937244085952,-0.014596854786055387,0.000023000816106331626,0.00005600874755074356,8.08054556408262e-8,0.000004549034027826449,0.00014557752938714307,0.000014063761714393135,0.0000014409319245116333,0.011646378558240356,0.0000019855387088204553,0.00003424273207292283,0.0000032917050884282616,4.4832163293113015e-10,2.3692690829556806e-9,0.0000023070798716122264,1.786592344955697e-8,1.2262784501183509e-9,8.932915518117824e-9,2.1662368317581565e-7,0.00013963021516091064
16,interlinked diamond paperclip bracelet,0.0736,2.88,3.96,82.65,0.000001746806282972926,1.288983102006913e-7,-25.98105911623188,3.875878252433086e-9,1.048961826411792e-7,0,-20.436066082549488,0.03311229390149916,3.441905035650899e-7,0.0000022948153639798964,0,3.861611887221043e-7,0,0.00035261826835782464,0.000012507383279797983,-0.0024148447796806215,1.4696360747019545e-7,0,6.840900716637228e-7,0.000007869746409047576,0,0.000006792807292735524,0,0,0,1.68016664684454e-7,0
17,wide baguette diamond band,0.5852,1.34,2.29,82.74,0.000131237065946325,0,20.13314148757417,0,0,1.1200490203126085e-7,7.164516197533746,-0.009529653247651529,0,0,7.33197160803311e-7,0,0,0,2.8744703258788955e-9,0.006443828345256227,0,0,0,2.159838760384697e-8,1.1534477993703608e-7,0,2.9988829629933876e-8,7.468803933105946e-8,5.358342682275828e-7,2.1099679050468237e-7,0.000172106224905141
18,flexi diamond tennis bracelet in yellow,-0.3918,2.36,2.96,112.11,3.843839764627153e-8,0.0000028020111168977987,-16.669555860706026,7.152006888927858e-9,2.7785283075246596e-9,2.6233089753116474e-7,6.761488489168631,-0.005871636067955534,8.28851216799275e-8,8.263153364135927e-8,0.00006907279366217212,0,8.474009419782718e-9,1.4103951787823123e-7,0.000022717875917157826,-0.005513811632611866,1.1544684845080404e-8,3.2760987484611897e-7,6.902951214679045e-8,3.2747014314504e-8,1.7834061763958516e-7,0,9.897178870186613e-8,7.149724188079004e-7,0.000004897776083376518,4.77784006148053e-7,1.3188446903474267e-7
19,3 line diamond hoops,0.361,2.11,2.86,67.42,0.0003929426502574959,1.0331051408921727e-7,130.26626024600446,0.0000032347978772707055,2.876056402294565e-8,0.0000011099590753121959,-9.140288826422912,0.03321168871915502,0.0000011394635189107204,0.0000015730536636701576,0.00011565130658775526,7.944690539579246e-7,0.000045648024995649546,0.00005195369381058257,2.2887898623596204e-8,0.0031145071975979583,6.253954146480924e-7,3.809440308899489e-7,0.000012845325574266424,1.0284364273694365e-7,9.29707117618384e-7,6.622463077489391e-7,0.000004335734787257864,0.0000018849047469142503,0.00000945103090678581,0.0000014536654061049641,0.000007257677440409795
20,3 princess cluster diamond ring,0.1297,1.84,2.22,119.14,0,0,273.63050083695373,0,0,0,13.478632923666906,0.022922984397373926,0,0,3.0796026119282823e-9,0.0003369790858325691,0,0,3.1648465069930814e-7,-0.002874870792564485,0,0.0010871910746003185,0,0,0,0.000011316869715383265,0.00005259318316209973,0.00009936123158420766,0,1.2476937814567994e-7,0.0002876282995304258
