,Product title,Model,Fold,B0 (Original),Beta_google_trends,Beta_Category Discount,Beta_Impressions,Beta_paw diamond necklace_meta_impression,Beta_minimal diamond climber earrings_meta_impression,Beta_pave diamond paperclip bracelet_meta_impression,Beta_pave diamond paperclip ring_meta_impression,Beta_textured diamond band_meta_impression,Beta_twirl diamond hoops_meta_impression,Beta_Daily_Impressions_OUTCOME_ENGAGEMENT,Beta_Google_Impression,Beta_two-tone interlocking diamond band_meta_impression,Beta_wide baguette diamond band_meta_impression,Beta_adjustable heart diamond lariat necklace_meta_impression,Beta_contemporary open diamond band_meta_impression,Beta_contemporary diamond band_meta_impression,Beta_Product variant price,Betas,Intercept,R2 Test,R2 Train,Mape Test,Mape Train,Mae Test,Mae Train,Num_Models,Best_Model,Weight_Concentration
16,paw diamond necklace,Weighted Ensemble,Ensemble,-93.64115827,0.178613023,36.50070424,1.74632E-06,9.9192E-05,5.79718E-06,3.07E-08,0.00023302,5.50E-09,3.95E-08,9.67E-09,5.44E-09,0.000164747,5.47E-08,0.00017254,1.61654E-06,-1.17E-09,-0.014488731,"{""Beta_Category Discount"":36.50070424232922,""Beta_Daily_Impressions_OUTCOME_ENGAGEMENT"":9.665641395441423e-9,""Beta_Google_Impression"":5.435614993498198e-9,""Beta_Impressions"":0.000001746316103958029,""Beta_Product variant price"":-0.014488730938010641,""Beta_adjustable heart diamond lariat necklace_meta_impression"":0.00017254025767674813,""Beta_contemporary diamond band_meta_impression"":-1.1664435707320209e-9,""Beta_contemporary open diamond band_meta_impression"":0.000001616542424935277,""Beta_google_trends"":0.17861302338771284,""Beta_minimal diamond climber earrings_meta_impression"":0.000005797182376310528,""Beta_pave diamond paperclip bracelet_meta_impression"":3.069963831345133e-8,""Beta_pave diamond paperclip ring_meta_impression"":0.00023301994237665907,""Beta_paw diamond necklace_meta_impression"":0.00009919198214020906,""Beta_textured diamond band_meta_impression"":5.5017158698375685e-9,""Beta_twirl diamond hoops_meta_impression"":3.9549243758954677e-8,""Beta_two-tone interlocking diamond band_meta_impression"":0.00016474651102165342,""Beta_wide baguette diamond band_meta_impression"":5.467118107744311e-8}",-93.64115827,0.775042601,0.971157075,79.79224259,65.78600048,6.218439045,4.972460838,4,Constrained Linear Regression,0.51363821
14,pave diamond paperclip bracelet,Weighted Ensemble,Ensemble,-21.54320589,0.073012493,8.005037415,7.3085E-06,5.34408E-05,1.40399E-05,4.44482E-05,6.27944E-05,1.28E-33,2.63E-33,1.57878E-05,1.85687E-05,0.000209559,0.000124412,1.17E-31,5.61E-33,2.59E-31,-0.031849205,"{""Beta_Category Discount"":8.005037414941002,""Beta_Daily_Impressions_OUTCOME_ENGAGEMENT"":0.000015787761245992064,""Beta_Google_Impression"":0.000018568670536084715,""Beta_Impressions"":0.000007308495816109831,""Beta_Product variant price"":-0.031849205181928436,""Beta_adjustable heart diamond lariat necklace_meta_impression"":1.1695549821500847e-31,""Beta_contemporary diamond band_meta_impression"":2.587976033854476e-31,""Beta_contemporary open diamond band_meta_impression"":5.6080500937949985e-33,""Beta_google_trends"":0.0730124932638268,""Beta_minimal diamond climber earrings_meta_impression"":0.000014039856342762969,""Beta_pave diamond paperclip bracelet_meta_impression"":0.00004444815129224347,""Beta_pave diamond paperclip ring_meta_impression"":0.00006279444807042142,""Beta_paw diamond necklace_meta_impression"":0.00005344078436308611,""Beta_textured diamond band_meta_impression"":1.2832400631704114e-33,""Beta_twirl diamond hoops_meta_impression"":2.6255571689273096e-33,""Beta_two-tone interlocking diamond band_meta_impression"":0.0002095587317673178,""Beta_wide baguette diamond band_meta_impression"":0.00012441235815329046}",-21.54320589,0.729800166,0.943172283,51.25671113,39.36241402,5.631314247,4.130682643,3,Custom Constrained Ridge,0.504231305
17,textured diamond band,Weighted Ensemble,Ensemble,26.58004784,0.050795638,11.11218931,1.00657E-05,4.8044E-05,2.14E-24,1.0119E-05,1.3502E-05,9.74046E-05,7.87015E-06,4.66986E-06,9.89502E-06,0.000130329,1.10E-23,1.03E-22,9.89E-24,1.96E-22,-0.107641984,"{""Beta_Category Discount"":11.112189310242346,""Beta_Daily_Impressions_OUTCOME_ENGAGEMENT"":0.000004669862692166144,""Beta_Google_Impression"":0.000009895021494395801,""Beta_Impressions"":0.000010065652762450371,""Beta_Product variant price"":-0.10764198396710087,""Beta_adjustable heart diamond lariat necklace_meta_impression"":1.0290573216532408e-22,""Beta_contemporary diamond band_meta_impression"":1.962236634477348e-22,""Beta_contemporary open diamond band_meta_impression"":9.88692958537465e-24,""Beta_google_trends"":0.0507956379846613,""Beta_minimal diamond climber earrings_meta_impression"":2.1432327956668253e-24,""Beta_pave diamond paperclip bracelet_meta_impression"":0.000010118970704452535,""Beta_pave diamond paperclip ring_meta_impression"":0.000013502017104957842,""Beta_paw diamond necklace_meta_impression"":0.00004804403734785383,""Beta_textured diamond band_meta_impression"":0.00009740458876805595,""Beta_twirl diamond hoops_meta_impression"":0.000007870150701914432,""Beta_two-tone interlocking diamond band_meta_impression"":0.00013032877859031785,""Beta_wide baguette diamond band_meta_impression"":1.1037729341399062e-23}",26.58004784,0.788594711,0.942224533,44.53676767,33.46589263,8.512139001,6.041464633,3,Custom Constrained Ridge,0.505177154
13,minimal diamond climber earrings,Weighted Ensemble,Ensemble,69.76691032,0.002623506,25.10480318,5.36E-07,3.14E-38,9.21481E-05,6.67E-38,2.3318E-05,3.29E-38,3.03E-37,6.50E-07,3.88922E-05,5.66228E-05,0.000212448,3.83786E-05,3.20665E-06,0.000171302,-0.172624911,"{""Beta_Category Discount"":25.104803181856163,""Beta_Daily_Impressions_OUTCOME_ENGAGEMENT"":6.497114507018842e-7,""Beta_Google_Impression"":0.000038892248760794725,""Beta_Impressions"":5.355272496685718e-7,""Beta_Product variant price"":-0.1726249112490164,""Beta_adjustable heart diamond lariat necklace_meta_impression"":0.00003837861421355593,""Beta_contemporary diamond band_meta_impression"":0.00017130166135554634,""Beta_contemporary open diamond band_meta_impression"":0.000003206650628069977,""Beta_google_trends"":0.0026235056956512054,""Beta_minimal diamond climber earrings_meta_impression"":0.00009214812362149237,""Beta_pave diamond paperclip bracelet_meta_impression"":6.669483726679602e-38,""Beta_pave diamond paperclip ring_meta_impression"":0.00002331803788963286,""Beta_paw diamond necklace_meta_impression"":3.1359003774319205e-38,""Beta_textured diamond band_meta_impression"":3.285561210992672e-38,""Beta_twirl diamond hoops_meta_impression"":3.0296836278632493e-37,""Beta_two-tone interlocking diamond band_meta_impression"":0.00005662277640914661,""Beta_wide baguette diamond band_meta_impression"":0.00021244763642710524}",69.76691032,0.690064768,0.937160803,63.58205997,49.00120978,4.91132896,3.689248061,3,Custom Constrained Ridge,0.516971802
18,twirl diamond hoops,Weighted Ensemble,Ensemble,-36.78291522,0.071529033,-153.6754636,7.2508E-06,6.62211E-06,5.72E-30,9.39E-07,6.16952E-05,-1.55E-46,0.000242708,5.4529E-06,1.80934E-06,3.18636E-05,6.11E-07,2.60E-28,3.99065E-06,5.38E-28,-0.090989596,"{""Beta_Category Discount"":-153.675463630252,""Beta_Daily_Impressions_OUTCOME_ENGAGEMENT"":0.000005452901731243548,""Beta_Google_Impression"":0.000001809340221588723,""Beta_Impressions"":0.0000072508043012615565,""Beta_Product variant price"":-0.09098959569337423,""Beta_adjustable heart diamond lariat necklace_meta_impression"":2.6041267606904765e-28,""Beta_contemporary diamond band_meta_impression"":5.375834393532463e-28,""Beta_contemporary open diamond band_meta_impression"":0.000003990650226622874,""Beta_google_trends"":0.07152903294956489,""Beta_minimal diamond climber earrings_meta_impression"":5.7190548278441824e-30,""Beta_pave diamond paperclip bracelet_meta_impression"":9.390432223231542e-7,""Beta_pave diamond paperclip ring_meta_impression"":0.0000616951705946408,""Beta_paw diamond necklace_meta_impression"":0.000006622113903389747,""Beta_textured diamond band_meta_impression"":-1.5489108545621338e-46,""Beta_twirl diamond hoops_meta_impression"":0.0002427082415860743,""Beta_two-tone interlocking diamond band_meta_impression"":0.00003186355975496986,""Beta_wide baguette diamond band_meta_impression"":6.108191131596716e-7}",-36.78291522,0.675419962,0.905222957,51.72040353,38.96313489,6.015618864,4.395447632,3,Custom Constrained Ridge,0.50666939
2,Other Products,Weighted Ensemble,Ensemble,-174.6554495,0.214148087,-606.2885033,0.000245461,1.77246E-05,4.6623E-05,7.83689E-05,0.000154691,4.48E-09,3.06348E-05,3.67184E-05,3.22837E-05,0.000439199,0.000209935,2.65E-07,2.38922E-05,4.21E-07,-0.000748149,"{""Beta_Category Discount"":-606.2885032687626,""Beta_Daily_Impressions_OUTCOME_ENGAGEMENT"":0.00003671838678623727,""Beta_Google_Impression"":0.000032283681151988094,""Beta_Impressions"":0.0002454613434756919,""Beta_Product variant price"":-0.0007481494260219798,""Beta_adjustable heart diamond lariat necklace_meta_impression"":2.6500408948964705e-7,""Beta_contemporary diamond band_meta_impression"":4.207630399568354e-7,""Beta_contemporary open diamond band_meta_impression"":0.00002389220845459851,""Beta_google_trends"":0.21414808720430745,""Beta_minimal diamond climber earrings_meta_impression"":0.0000466230430715243,""Beta_pave diamond paperclip bracelet_meta_impression"":0.00007836891496405479,""Beta_pave diamond paperclip ring_meta_impression"":0.0001546907208650799,""Beta_paw diamond necklace_meta_impression"":0.00001772457477691816,""Beta_textured diamond band_meta_impression"":4.478891291884092e-9,""Beta_twirl diamond hoops_meta_impression"":0.000030634835161512814,""Beta_two-tone interlocking diamond band_meta_impression"":0.0004391992988853527,""Beta_wide baguette diamond band_meta_impression"":0.00020993541945901772}",-174.6554495,0.692689574,0.896864518,20.04711238,13.34904987,19.7309688,13.31885628,3,Custom Constrained Ridge,0.500294498
15,pave diamond paperclip ring,Weighted Ensemble,Ensemble,9.908351423,0.021131517,-21.44108025,1.13569E-06,7.24E-49,5.95E-49,2.79E-49,0.000563496,2.43E-49,1.81E-48,7.47863E-06,1.36859E-05,3.32542E-05,1.40E-07,0.000603622,1.63366E-05,4.30E-47,-0.09555893,"{""Beta_Category Discount"":-21.44108025267605,""Beta_Daily_Impressions_OUTCOME_ENGAGEMENT"":0.000007478633230423907,""Beta_Google_Impression"":0.000013685892723688933,""Beta_Impressions"":0.000001135688015400654,""Beta_Product variant price"":-0.0955589300853489,""Beta_adjustable heart diamond lariat necklace_meta_impression"":0.0006036220152586889,""Beta_contemporary diamond band_meta_impression"":4.296350023375927e-47,""Beta_contemporary open diamond band_meta_impression"":0.00001633664983193299,""Beta_google_trends"":0.021131517454072365,""Beta_minimal diamond climber earrings_meta_impression"":5.954840403852269e-49,""Beta_pave diamond paperclip bracelet_meta_impression"":2.794162526688746e-49,""Beta_pave diamond paperclip ring_meta_impression"":0.000563495725128989,""Beta_paw diamond necklace_meta_impression"":7.23640336783324e-49,""Beta_textured diamond band_meta_impression"":2.4305140784309876e-49,""Beta_twirl diamond hoops_meta_impression"":1.8116064309016332e-48,""Beta_two-tone interlocking diamond band_meta_impression"":0.00003325424412675373,""Beta_wide baguette diamond band_meta_impression"":1.3953384682838158e-7}",9.908351423,0.072896871,0.873259715,54.60602247,44.86258562,2.899271489,2.33197915,3,Custom Constrained Ridge,0.502806402
19,two-tone interlocking diamond band,Weighted Ensemble,Ensemble,6.28691542,-0.000762135,18.8159349,2.20063E-05,1.73518E-06,3.12E-54,1.97E-54,9.82E-54,7.96496E-06,4.63E-54,3.15746E-06,4.81E-07,0.000208786,7.41E-54,0.000115636,6.12E-54,2.28E-68,-0.011622431,"{""Beta_Category Discount"":18.81593489720479,""Beta_Daily_Impressions_OUTCOME_ENGAGEMENT"":0.000003157456488473639,""Beta_Google_Impression"":4.807875986722293e-7,""Beta_Impressions"":0.000022006313545411313,""Beta_Product variant price"":-0.011622431348852165,""Beta_adjustable heart diamond lariat necklace_meta_impression"":0.00011563647086295671,""Beta_contemporary diamond band_meta_impression"":2.2768981115539277e-68,""Beta_contemporary open diamond band_meta_impression"":6.119882825966195e-54,""Beta_google_trends"":-0.0007621352459377777,""Beta_minimal diamond climber earrings_meta_impression"":3.1198972685458084e-54,""Beta_pave diamond paperclip bracelet_meta_impression"":1.9679071139172532e-54,""Beta_pave diamond paperclip ring_meta_impression"":9.81752121371026e-54,""Beta_paw diamond necklace_meta_impression"":0.0000017351797297901898,""Beta_textured diamond band_meta_impression"":0.000007964959291465884,""Beta_twirl diamond hoops_meta_impression"":4.630964970429618e-54,""Beta_two-tone interlocking diamond band_meta_impression"":0.00020878600999472472,""Beta_wide baguette diamond band_meta_impression"":7.409290870177154e-54}",6.28691542,0.476841997,0.871178585,51.82314258,41.30059635,2.142432177,1.554013974,3,Custom Constrained Ridge,0.503487873
7,contemporary open diamond band,Weighted Ensemble,Ensemble,17.50683195,0.00779615,56.1673987,3.20E-54,4.73E-07,2.24596E-06,3.15E-55,4.08935E-06,1.16E-54,1.23821E-05,1.58815E-05,5.91E-54,8.03E-53,0.000135828,0.000192475,0.000125292,7.63624E-05,-0.0166709,"{""Beta_Category Discount"":56.16739870045319,""Beta_Daily_Impressions_OUTCOME_ENGAGEMENT"":0.00001588150757912425,""Beta_Google_Impression"":5.913338988700435e-54,""Beta_Impressions"":3.1972445517371795e-54,""Beta_Product variant price"":-0.01667090001363909,""Beta_adjustable heart diamond lariat necklace_meta_impression"":0.00019247494539039172,""Beta_contemporary diamond band_meta_impression"":0.00007636241534517064,""Beta_contemporary open diamond band_meta_impression"":0.0001252915711579332,""Beta_google_trends"":0.007796150429393138,""Beta_minimal diamond climber earrings_meta_impression"":0.0000022459593155268063,""Beta_pave diamond paperclip bracelet_meta_impression"":3.1500059875214265e-55,""Beta_pave diamond paperclip ring_meta_impression"":0.000004089352278970192,""Beta_paw diamond necklace_meta_impression"":4.730754943475553e-7,""Beta_textured diamond band_meta_impression"":1.1583506139030116e-54,""Beta_twirl diamond hoops_meta_impression"":0.000012382094059205768,""Beta_two-tone interlocking diamond band_meta_impression"":8.033125608960734e-53,""Beta_wide baguette diamond band_meta_impression"":0.00013582840624855113}",17.50683195,0.662639837,0.848044311,56.94288656,43.74855961,3.216808619,2.300256577,3,Custom Constrained Ridge,0.521866054
20,wide baguette diamond band,Weighted Ensemble,Ensemble,8.24997118,0.003814306,8.683445424,2.88E-76,1.32E-76,2.96855E-06,4.12E-77,2.07747E-06,4.41E-07,1.01E-07,7.28022E-06,2.78E-07,3.63E-75,0.000151554,-3.08E-91,2.02796E-06,5.56162E-05,-0.011887747,"{""Beta_Category Discount"":8.683445423514307,""Beta_Daily_Impressions_OUTCOME_ENGAGEMENT"":0.000007280217578666376,""Beta_Google_Impression"":2.7825117301828994e-7,""Beta_Impressions"":2.883318187649014e-76,""Beta_Product variant price"":-0.011887747280701699,""Beta_adjustable heart diamond lariat necklace_meta_impression"":-3.079197276165053e-91,""Beta_contemporary diamond band_meta_impression"":0.00005561624334986909,""Beta_contemporary open diamond band_meta_impression"":0.0000020279647061489935,""Beta_google_trends"":0.0038143055982405964,""Beta_minimal diamond climber earrings_meta_impression"":0.0000029685452479970213,""Beta_pave diamond paperclip bracelet_meta_impression"":4.12185363879193e-77,""Beta_pave diamond paperclip ring_meta_impression"":0.0000020774736828946303,""Beta_paw diamond necklace_meta_impression"":1.3198192823866319e-76,""Beta_textured diamond band_meta_impression"":4.4113369691944033e-7,""Beta_twirl diamond hoops_meta_impression"":1.0057682436721497e-7,""Beta_two-tone interlocking diamond band_meta_impression"":3.6322591564208917e-75,""Beta_wide baguette diamond band_meta_impression"":0.00015155413593965632}",8.24997118,0.260327284,0.796519916,59.566014,53.93195204,1.341176756,1.064640268,3,Custom Constrained Ridge,0.510872128
6,contemporary diamond band,Weighted Ensemble,Ensemble,1.364630859,0.006632557,35.13659481,6.76E-13,8.74E-14,1.09E-13,7.49E-14,1.12E-12,6.49E-12,5.6277E-06,6.10793E-06,1.5105E-06,1.47E-12,7.44049E-06,7.54E-12,2.52474E-06,0.000249764,5.08E-09,"{""Beta_Category Discount"":35.13659481094619,""Beta_Daily_Impressions_OUTCOME_ENGAGEMENT"":0.0000061079288504281165,""Beta_Google_Impression"":0.0000015104976774986488,""Beta_Impressions"":6.757067454198535e-13,""Beta_Product variant price"":5.081062346610989e-9,""Beta_adjustable heart diamond lariat necklace_meta_impression"":7.544589721695358e-12,""Beta_contemporary diamond band_meta_impression"":0.0002497636889302379,""Beta_contemporary open diamond band_meta_impression"":0.0000025247363105757714,""Beta_google_trends"":0.006632557288339903,""Beta_minimal diamond climber earrings_meta_impression"":1.0856267754185239e-13,""Beta_pave diamond paperclip bracelet_meta_impression"":7.491659901317328e-14,""Beta_pave diamond paperclip ring_meta_impression"":1.120874926631394e-12,""Beta_paw diamond necklace_meta_impression"":8.73877000852054e-14,""Beta_textured diamond band_meta_impression"":6.494582441111843e-12,""Beta_twirl diamond hoops_meta_impression"":0.000005627704229826844,""Beta_two-tone interlocking diamond band_meta_impression"":1.4712093534444101e-12,""Beta_wide baguette diamond band_meta_impression"":0.000007440490256906753}",1.364630859,0.252563237,0.747401204,49.01641768,33.89831406,1.277299708,0.900571033,4,Custom Constrained Ridge,0.510122358
4,adjustable heart diamond lariat necklace,Weighted Ensemble,Ensemble,-4.689681625,-0.000115284,-3.830389983,9.97E-07,3.98E-09,1.78E-07,7.75E-24,1.01E-23,6.90E-25,1.96E-77,1.62007E-06,2.96711E-06,4.29167E-06,5.27334E-06,0.000381183,8.32E-07,1.73663E-05,0.006628372,"{""Beta_Category Discount"":-3.8303899833151807,""Beta_Daily_Impressions_OUTCOME_ENGAGEMENT"":0.000001620066705298887,""Beta_Google_Impression"":0.000002967113539325495,""Beta_Impressions"":9.974510487483683e-7,""Beta_Product variant price"":0.006628371897055481,""Beta_adjustable heart diamond lariat necklace_meta_impression"":0.0003811826850863094,""Beta_contemporary diamond band_meta_impression"":0.000017366341270317882,""Beta_contemporary open diamond band_meta_impression"":8.320622398935114e-7,""Beta_google_trends"":-0.00011528417088136464,""Beta_minimal diamond climber earrings_meta_impression"":1.7820794346271325e-7,""Beta_pave diamond paperclip bracelet_meta_impression"":7.748897548279752e-24,""Beta_pave diamond paperclip ring_meta_impression"":1.011628179787265e-23,""Beta_paw diamond necklace_meta_impression"":3.9782601485120075e-9,""Beta_textured diamond band_meta_impression"":6.902732178491142e-25,""Beta_twirl diamond hoops_meta_impression"":1.9638752588749744e-77,""Beta_two-tone interlocking diamond band_meta_impression"":0.000004291671397272197,""Beta_wide baguette diamond band_meta_impression"":0.000005273343776787982}",-4.689681625,0.012250683,0.697296029,55.15084513,39.88859991,1.102592895,0.842792125,4,Custom Constrained Ridge,0.510989426
