Week,bracelets: (United States),diamond jewelry: (United States),diamonds: (United States),engagement rings: (United States),gifts for women: (United States),jewelry for women: (United States),jewelry: (United States),lab grown diamonds: (United States),necklaces: (United States),rings: (United States),earrings: (United States)
01-09-2024,67,52,53,72,9,29,64,47,66,77,45
08-09-2024,68,50,55,61,9,32,61,44,60,66,100
15-09-2024,63,51,56,65,10,34,62,48,60,69,49
22-09-2024,66,50,53,69,9,31,57,47,58,68,47
29-09-2024,60,50,54,67,10,33,57,44,61,70,46
06-10-2024,59,51,53,61,12,36,57,41,61,66,43
13-10-2024,63,50,55,64,12,33,59,47,61,65,44
20-10-2024,68,54,57,71,13,38,60,52,62,65,46
27-10-2024,68,52,55,65,16,40,60,48,59,60,45
03-11-2024,74,51,52,59,23,42,60,44,64,61,46
10-11-2024,75,64,60,76,34,55,71,55,79,72,55
17-11-2024,82,72,67,74,42,57,76,59,82,76,60
24-11-2024,98,85,82,85,58,85,92,83,98,88,78
01-12-2024,95,80,77,73,74,74,92,76,96,84,71
08-12-2024,100,88,79,78,100,100,93,81,100,82,75
15-12-2024,94,93,86,81,87,89,94,89,87,86,76
22-12-2024,85,100,100,100,34,66,100,100,87,100,76
29-12-2024,69,71,79,91,11,44,78,75,67,87,55
05-01-2025,61,57,64,83,11,39,61,58,58,78,46
12-01-2025,58,57,66,73,11,38,63,55,60,72,47
19-01-2025,57,54,64,69,10,42,61,60,56,66,45
26-01-2025,64,61,66,62,10,41,65,53,58,69,46
02-02-2025,66,64,71,68,15,49,68,60,64,79,71
09-02-2025,62,69,70,67,15,47,72,61,63,75,51
16-02-2025,62,65,71,74,9,41,65,62,61,73,47
23-02-2025,54,54,63,63,9,40,60,50,60,67,46
02-03-2025,65,56,61,63,9,37,61,49,61,64,45
09-03-2025,57,54,65,64,9,43,62,49,62,65,45
16-03-2025,56,49,62,70,9,39,61,49,62,65,44
23-03-2025,60,52,63,71,9,40,64,52,59,67,45
30-03-2025,58,51,63,66,9,42,61,46,63,63,44
06-04-2025,59,55,74,66,10,37,64,50,60,63,44
13-04-2025,65,52,69,67,10,46,64,49,62,64,45
20-04-2025,59,56,70,65,11,40,63,52,72,68,46
27-04-2025,71,63,69,66,12,50,67,55,69,67,48
04-05-2025,73,62,70,68,16,55,75,53,79,72,54
11-05-2025,65,51,62,65,10,41,66,49,66,67,49
18-05-2025,64,52,56,69,8,35,60,48,59,62,43
25-05-2025,66,53,64,68,9,38,65,54,63,66,44
01-06-2025,71,54,60,71,9,37,62,56,67,67,47
08-06-2025,70,51,61,70,8,37,64,55,62,64,45
15-06-2025,72,58,62,69,8,37,65,50,68,66,45
22-06-2025,67,55,61,68,8,37,67,57,63,68,44
29-06-2025,65,54,59,74,8,38,67,52,66,67,44
06-07-2025,64,56,62,68,8,40,71,57,63,67,42
13-07-2025,74,60,65,77,8,36,70,60,65,65,44
20-07-2025,69,57,67,79,9,33,76,64,65,66,45
27-07-2025,63,55,63,71,8,39,77,57,69,67,43
03-08-2025,71,58,66,72,10,41,74,60,72,71,47
10-08-2025,70,53,69,76,9,39,77,65,68,65,49
17-08-2025,64,53,61,69,9,39,67,54,64,64,43
24-08-2025,64,63,64,86,9,42,68,59,64,67,44
31-08-2025,68,56,67,83,9,42,67,61,69,70,47
07-09-2025,67,52,53,72,9,29,64,47,66,77,45
14-09-2025,68,50,55,61,9,32,61,44,60,66,100
21-09-2025,63,51,56,65,10,34,62,48,60,69,49
28-09-2025,66,50,53,69,9,31,57,47,58,68,47
05-10-2025,60,50,54,67,10,33,57,44,61,70,46
12-10-2025,59,51,53,61,12,36,57,41,61,66,43
19-10-2025,63,50,55,64,12,33,59,47,61,65,44
26-10-2025,68,54,57,71,13,38,60,52,62,65,46
02-11-2025,68,52,55,65,16,40,60,48,59,60,45
09-11-2025,74,51,52,59,23,42,60,44,64,61,46
16-11-2025,75,64,60,76,34,55,71,55,79,72,55
23-11-2025,82,72,67,74,42,57,76,59,82,76,60
30-11-2025,98,85,82,85,58,85,92,83,98,88,78
07-12-2025,95,80,77,73,74,74,92,76,96,84,71
14-12-2025,100,88,79,78,100,100,93,81,100,82,75
21-12-2025,94,93,86,81,87,89,94,89,87,86,76
28-12-2025,85,100,100,100,34,66,100,100,87,100,76
04-01-2026,69,71,79,91,11,44,78,75,67,87,55
11-01-2026,61,57,64,83,11,39,61,58,58,78,46
18-01-2026,58,57,66,73,11,38,63,55,60,72,47
25-01-2026,57,54,64,69,10,42,61,60,56,66,45
01-02-2026,64,61,66,62,10,41,65,53,58,69,46
08-02-2026,66,64,71,68,15,49,68,60,64,79,71
15-02-2026,62,69,70,67,15,47,72,61,63,75,51
22-02-2026,62,65,71,74,9,41,65,62,61,73,47
01-03-2026,54,54,63,63,9,40,60,50,60,67,46
08-03-2026,65,56,61,63,9,37,61,49,61,64,45
15-03-2026,57,54,65,64,9,43,62,49,62,65,45
22-03-2026,56,49,62,70,9,39,61,49,62,65,44
29-03-2026,60,52,63,71,9,40,64,52,59,67,45
05-04-2026,58,51,63,66,9,42,61,46,63,63,44
12-04-2026,59,55,74,66,10,37,64,50,60,63,44
19-04-2026,65,52,69,67,10,46,64,49,62,64,45
26-04-2026,59,56,70,65,11,40,63,52,72,68,46
03-05-2026,71,63,69,66,12,50,67,55,69,67,48
10-05-2026,73,62,70,68,16,55,75,53,79,72,54
17-05-2026,65,51,62,65,10,41,66,49,66,67,49
24-05-2026,64,52,56,69,8,35,60,48,59,62,43
31-05-2026,66,53,64,68,9,38,65,54,63,66,44
07-06-2026,71,54,60,71,9,37,62,56,67,67,47
14-06-2026,70,51,61,70,8,37,64,55,62,64,45
21-06-2026,72,58,62,69,8,37,65,50,68,66,45
28-06-2026,67,55,61,68,8,37,67,57,63,68,44
05-07-2026,65,54,59,74,8,38,67,52,66,67,44
12-07-2026,64,56,62,68,8,40,71,57,63,67,42
19-07-2026,74,60,65,77,8,36,70,60,65,65,44
26-07-2026,69,57,67,79,9,33,76,64,65,66,45
02-08-2026,63,55,63,71,8,39,77,57,69,67,43
09-08-2026,71,58,66,72,10,41,74,60,72,71,47
16-08-2026,70,53,69,76,9,39,77,65,68,65,49
23-08-2026,64,53,61,69,9,39,67,54,64,64,43
30-08-2026,64,63,64,86,9,42,68,59,64,67,44
